"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2022","EQ","4,200.00","4,226.80","4,143.30","4,160.90","4,158.75","4,160.45","4,172.53","5,425.10","3,153.30","4,21,554","1,75,89,48,816.05","42,120"
"02-Mar-2022","EQ","4,230.00","4,310.85","4,135.30","4,265.00","4,160.00","4,160.90","4,207.77","5,425.10","3,153.30","5,76,094","2,42,40,71,936.00","57,973"
"28-Feb-2022","EQ","4,120.00","4,284.40","4,078.70","4,138.35","4,262.00","4,265.00","4,212.90","5,425.10","3,153.30","6,11,670","2,57,69,04,928.40","46,065"
"25-Feb-2022","EQ","4,049.95","4,157.90","3,981.90","3,936.65","4,130.00","4,138.35","4,073.95","5,425.10","3,153.30","4,50,834","1,83,66,74,756.80","46,230"
"24-Feb-2022","EQ","4,100.00","4,130.90","3,916.60","4,181.60","3,934.95","3,936.65","4,017.96","5,425.10","3,153.30","7,23,045","2,90,51,62,622.10","85,104"
"23-Feb-2022","EQ","4,232.00","4,258.65","4,173.15","4,224.80","4,176.00","4,181.60","4,203.92","5,425.10","3,153.30","3,79,328","1,59,46,65,914.75","41,032"
"22-Feb-2022","EQ","4,150.00","4,245.20","4,135.70","4,258.30","4,220.25","4,224.80","4,202.46","5,425.10","3,153.30","4,30,407","1,80,87,66,964.95","47,269"
"21-Feb-2022","EQ","4,345.00","4,345.00","4,250.50","4,353.40","4,251.75","4,258.30","4,286.07","5,425.10","3,153.30","2,84,980","1,22,14,44,855.20","29,724"
"18-Feb-2022","EQ","4,432.70","4,442.20","4,325.00","4,442.20","4,350.00","4,353.40","4,364.15","5,425.10","3,153.30","5,80,486","2,53,33,25,354.45","41,156"
"17-Feb-2022","EQ","4,465.65","4,520.15","4,425.00","4,465.15","4,433.00","4,442.20","4,474.69","5,425.10","3,153.30","6,01,590","2,69,19,28,821.50","45,203"
"16-Feb-2022","EQ","4,340.00","4,498.00","4,312.05","4,325.80","4,458.00","4,465.15","4,440.06","5,425.10","3,153.30","13,73,620","6,09,89,58,031.20","91,023"
"15-Feb-2022","EQ","4,280.00","4,346.00","4,280.00","4,277.90","4,322.90","4,325.80","4,321.14","5,425.10","3,153.30","3,71,572","1,60,56,15,101.75","46,047"
"14-Feb-2022","EQ","4,239.45","4,355.00","4,192.05","4,291.25","4,277.00","4,277.90","4,270.26","5,425.10","3,153.30","11,47,299","4,89,92,66,391.70","1,13,289"
"11-Feb-2022","EQ","4,313.75","4,474.00","4,240.05","4,313.75","4,282.90","4,291.25","4,335.40","5,425.10","3,153.30","25,85,446","11,20,89,49,284.35","2,11,593"
"10-Feb-2022","EQ","4,334.50","4,361.95","4,300.05","4,329.45","4,326.15","4,313.75","4,323.50","5,425.10","3,153.30","5,59,595","2,41,94,09,632.15","53,279"
"09-Feb-2022","EQ","4,280.00","4,357.45","4,278.80","4,277.55","4,334.00","4,329.45","4,326.93","5,425.10","3,153.30","2,80,094","1,21,19,46,316.40","31,958"
"08-Feb-2022","EQ","4,201.50","4,288.40","4,168.25","4,201.50","4,274.00","4,277.55","4,249.40","5,425.10","3,153.30","4,36,195","1,85,35,65,877.05","59,480"
