"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2023","EQ","2,862.00","2,889.00","2,841.00","2,861.15","2,852.00","2,850.40","2,856.59","4,640.80","2,740.10","2,26,069","64,57,87,333.60","25,819"
"02-Mar-2023","EQ","2,859.00","2,871.30","2,827.35","2,845.30","2,850.00","2,861.15","2,852.01","4,640.80","2,740.10","2,36,175","67,35,72,525.60","22,034"
"01-Mar-2023","EQ","2,836.50","2,857.00","2,823.00","2,825.60","2,846.00","2,845.30","2,838.85","4,640.80","2,740.10","1,54,311","43,80,66,282.10","18,386"
"28-Feb-2023","EQ","2,867.10","2,882.50","2,816.50","2,858.50","2,835.25","2,825.60","2,845.01","4,640.80","2,740.10","3,40,040","96,74,17,155.40","31,917"
"27-Feb-2023","EQ","2,917.00","2,917.00","2,845.00","2,915.20","2,862.00","2,858.50","2,865.43","4,640.80","2,740.10","2,16,200","61,95,06,871.60","25,675"
"24-Feb-2023","EQ","2,879.95","2,972.00","2,879.95","2,873.20","2,910.00","2,915.20","2,934.61","4,640.80","2,740.10","8,90,366","2,61,28,79,428.90","72,744"
"23-Feb-2023","EQ","2,920.55","2,935.00","2,866.00","2,920.55","2,875.00","2,873.20","2,893.54","4,640.80","2,740.10","4,32,267","1,25,07,83,716.85","41,217"
"22-Feb-2023","EQ","2,915.60","2,936.60","2,904.35","2,918.60","2,913.50","2,920.55","2,925.94","4,640.80","2,740.10","4,61,368","1,34,99,33,033.80","30,600"
"21-Feb-2023","EQ","2,910.75","2,928.30","2,883.20","2,900.60","2,920.00","2,918.60","2,912.52","4,640.80","2,740.10","4,19,138","1,22,07,46,422.50","39,633"
"20-Feb-2023","EQ","2,834.50","2,919.00","2,800.00","2,829.80","2,902.00","2,900.60","2,883.55","4,640.80","2,740.10","7,40,945","2,13,65,54,332.40","55,293"
"17-Feb-2023","EQ","2,876.00","2,876.00","2,826.00","2,876.60","2,834.45","2,829.80","2,847.97","4,640.80","2,740.10","2,82,100","80,34,11,360.60","27,154"
"16-Feb-2023","EQ","2,835.00","2,886.00","2,826.60","2,822.55","2,876.55","2,876.60","2,864.01","4,640.80","2,740.10","4,98,759","1,42,84,50,833.95","46,085"
"15-Feb-2023","EQ","2,790.05","2,826.85","2,772.00","2,791.65","2,824.00","2,822.55","2,806.14","4,640.80","2,740.10","2,14,098","60,07,88,037.35","24,520"
"14-Feb-2023","EQ","2,798.40","2,798.40","2,755.00","2,773.20","2,793.95","2,791.65","2,783.41","4,640.80","2,740.10","2,13,194","59,34,06,014.35","22,322"
"13-Feb-2023","EQ","2,825.35","2,825.35","2,756.00","2,811.25","2,772.00","2,773.20","2,778.25","4,640.80","2,740.10","4,73,865","1,31,65,17,191.55","67,575"
"10-Feb-2023","EQ","2,823.15","2,837.90","2,795.80","2,823.15","2,812.00","2,811.25","2,816.93","4,640.80","2,740.10","3,80,182","1,07,09,45,654.35","31,863"
"09-Feb-2023","EQ","2,771.05","2,856.00","2,771.05","2,799.05","2,819.00","2,823.15","2,824.93","4,640.80","2,740.10","7,42,365","2,09,71,32,792.40","71,896"
"08-Feb-2023","EQ","2,757.95","2,822.00","2,757.00","2,750.85","2,804.00","2,799.05","2,798.79","4,640.80","2,740.10","9,13,575","2,55,69,00,762.80","64,295"
"07-Feb-2023","EQ","2,790.15","2,819.95","2,740.10","2,778.00","2,752.30","2,750.85","2,767.47","4,640.80","2,740.10","14,69,217","4,06,60,12,812.75","1,29,439"
"06-Feb-2023","EQ","2,810.00","2,878.10","2,745.00","2,884.35","2,781.00","2,778.00","2,781.89","4,640.80","2,745.00","21,95,618","6,10,79,71,718.95","2,45,267"
"03-Feb-2023","EQ","3,270.00","3,270.00","2,795.00","3,267.00","2,875.00","2,884.35","2,931.72","4,640.80","2,795.00","44,86,682","13,15,37,09,719.25","2,95,635"
"02-Feb-2023","EQ","3,328.05","3,369.50","3,254.85","3,356.85","3,268.00","3,267.00","3,302.43","4,640.80","3,195.15","3,34,618","1,10,50,52,249.10","45,241"
"01-Feb-2023","EQ","3,332.15","3,419.00","3,300.30","3,315.30","3,346.30","3,356.85","3,365.95","4,640.80","3,195.15","5,01,235","1,68,71,33,824.85","53,227"
"31-Jan-2023","EQ","3,375.00","3,381.15","3,309.75","3,366.40","3,323.05","3,315.30","3,328.56","4,640.80","3,195.15","5,12,249","1,70,50,53,420.70","55,912"
"30-Jan-2023","EQ","3,399.95","3,405.05","3,352.45","3,387.45","3,371.00","3,366.40","3,370.71","4,640.80","3,195.15","2,92,148","98,47,46,410.05","35,654"
"27-Jan-2023","EQ","3,359.60","3,405.00","3,315.05","3,335.70","3,378.00","3,387.45","3,375.94","4,640.80","3,195.15","3,26,612","1,10,26,22,847.20","49,477"
"25-Jan-2023","EQ","3,350.05","3,376.80","3,303.25","3,356.05","3,347.15","3,335.70","3,325.46","4,640.80","3,195.15","2,39,083","79,50,61,778.55","29,079"
"24-Jan-2023","EQ","3,390.00","3,399.00","3,345.00","3,385.70","3,354.50","3,356.05","3,370.26","4,640.80","3,195.15","1,27,508","42,97,35,687.40","19,169"
"23-Jan-2023","EQ","3,343.10","3,415.00","3,333.45","3,343.15","3,383.50","3,385.70","3,384.60","4,640.80","3,195.15","2,20,594","74,66,22,036.65","24,872"
"20-Jan-2023","EQ","3,382.00","3,400.00","3,336.25","3,382.00","3,345.00","3,343.15","3,368.92","4,668.00","3,195.15","1,68,535","56,77,80,851.90","24,064"
"19-Jan-2023","EQ","3,375.00","3,388.75","3,352.05","3,388.50","3,383.00","3,382.00","3,373.11","4,668.00","3,195.15","1,04,419","35,22,16,971.20","15,786"
"18-Jan-2023","EQ","3,351.60","3,394.00","3,347.40","3,347.40","3,382.55","3,388.50","3,373.20","4,668.00","3,195.15","1,42,704","48,13,68,722.40","19,197"
"17-Jan-2023","EQ","3,340.00","3,352.15","3,320.05","3,333.20","3,350.00","3,347.40","3,335.82","4,668.00","3,195.15","1,36,458","45,51,99,136.45","20,704"
"16-Jan-2023","EQ","3,362.20","3,367.70","3,316.50","3,351.70","3,335.00","3,333.20","3,335.91","4,668.00","3,195.15","1,23,326","41,14,03,957.10","18,647"
"13-Jan-2023","EQ","3,321.85","3,359.35","3,307.50","3,305.30","3,352.15","3,351.70","3,336.22","4,668.00","3,195.15","2,73,260","91,16,54,967.25","31,203"
"12-Jan-2023","EQ","3,425.00","3,426.45","3,281.30","3,411.45","3,308.85","3,305.30","3,316.13","4,668.00","3,195.15","9,29,239","3,08,14,77,184.20","87,920"
"11-Jan-2023","EQ","3,500.00","3,500.00","3,406.00","3,501.85","3,412.35","3,411.45","3,432.80","4,668.00","3,195.15","2,39,027","82,05,31,451.95","23,924"
"10-Jan-2023","EQ","3,466.00","3,520.00","3,452.70","3,459.50","3,502.00","3,501.85","3,490.80","4,668.00","3,195.15","2,44,607","85,38,74,647.40","36,196"
"09-Jan-2023","EQ","3,475.00","3,494.00","3,446.00","3,434.90","3,459.00","3,459.50","3,470.24","4,668.00","3,195.15","1,64,412","57,05,49,436.40","21,196"
"06-Jan-2023","EQ","3,461.85","3,485.20","3,415.00","3,461.85","3,430.00","3,434.90","3,452.44","4,708.75","3,195.15","3,53,616","1,22,08,39,137.60","26,924"
"05-Jan-2023","EQ","3,435.55","3,470.90","3,405.00","3,435.55","3,463.00","3,461.85","3,443.06","4,708.75","3,195.15","2,70,647","93,18,53,560.40","32,101"
"04-Jan-2023","EQ","3,390.20","3,449.00","3,390.00","3,393.00","3,430.00","3,435.55","3,429.81","4,708.75","3,195.15","3,65,514","1,25,36,44,753.40","31,758"
"03-Jan-2023","EQ","3,372.65","3,402.00","3,357.50","3,372.65","3,393.30","3,393.00","3,389.65","4,708.75","3,195.15","2,44,677","82,93,69,992.60","25,478"
"02-Jan-2023","EQ","3,420.00","3,420.00","3,365.00","3,413.20","3,370.00","3,372.65","3,381.84","4,708.75","3,195.15","2,83,161","95,76,06,255.65","27,318"
"30-Dec-2022","EQ","3,448.60","3,448.60","3,385.00","3,412.20","3,424.00","3,413.20","3,417.51","4,708.75","3,195.15","2,43,318","83,15,42,084.15","26,119"
"29-Dec-2022","EQ","3,451.00","3,492.00","3,386.90","3,446.35","3,412.35","3,412.20","3,427.98","4,708.75","3,195.15","5,35,637","1,83,61,55,590.95","40,781"
"28-Dec-2022","EQ","3,470.00","3,499.70","3,438.50","3,477.10","3,446.00","3,446.35","3,461.36","4,708.75","3,195.15","1,95,450","67,65,21,970.05","20,866"
"27-Dec-2022","EQ","3,434.00","3,499.70","3,428.80","3,428.80","3,480.00","3,477.10","3,465.75","4,708.75","3,195.15","3,62,159","1,25,51,51,356.65","30,381"
"26-Dec-2022","EQ","3,529.95","3,549.00","3,420.00","3,498.45","3,435.00","3,428.80","3,465.87","4,708.75","3,195.15","6,54,257","2,26,75,66,482.45","51,159"
"23-Dec-2022","EQ","3,490.00","3,640.00","3,474.10","3,495.90","3,503.60","3,498.45","3,566.37","4,708.75","3,195.15","16,25,800","5,79,82,07,453.40","1,15,056"
