"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2022","EQ","3,399.00","3,404.80","3,279.00","3,372.30","3,302.00","3,297.10","3,319.32","4,347.00","3,027.05","5,36,758","1,78,16,70,245.45","42,706"
"02-Mar-2022","EQ","3,498.30","3,498.30","3,333.00","3,530.35","3,367.15","3,372.30","3,387.38","4,347.00","3,027.05","9,82,580","3,32,83,67,150.25","86,459"
"28-Feb-2022","EQ","3,497.70","3,561.00","3,448.05","3,508.40","3,530.40","3,530.35","3,517.60","4,347.00","3,027.05","3,87,040","1,36,14,51,726.25","29,968"
"25-Feb-2022","EQ","3,490.10","3,560.00","3,490.10","3,478.90","3,512.00","3,508.40","3,524.01","4,347.00","3,027.05","3,27,777","1,15,50,88,232.85","30,526"
"24-Feb-2022","EQ","3,485.50","3,559.30","3,435.00","3,580.30","3,435.00","3,478.90","3,505.66","4,347.00","3,027.05","6,28,362","2,20,28,25,216.15","49,664"
"23-Feb-2022","EQ","3,615.10","3,639.90","3,570.00","3,600.70","3,580.00","3,580.30","3,608.71","4,347.00","3,027.05","2,09,392","75,56,35,048.15","24,310"
"22-Feb-2022","EQ","3,520.00","3,615.00","3,515.00","3,579.50","3,591.90","3,600.70","3,580.04","4,347.00","3,027.05","4,32,562","1,54,85,88,788.05","35,956"
"21-Feb-2022","EQ","3,624.15","3,637.95","3,567.35","3,632.15","3,568.75","3,579.50","3,610.43","4,347.00","3,027.05","3,44,326","1,24,31,64,919.50","26,414"
"18-Feb-2022","EQ","3,597.00","3,642.50","3,563.60","3,597.30","3,636.60","3,632.15","3,620.43","4,347.00","3,027.05","2,77,299","1,00,39,41,863.40","20,737"
"17-Feb-2022","EQ","3,590.10","3,660.00","3,590.10","3,586.90","3,598.95","3,597.30","3,630.76","4,347.00","3,027.05","5,13,917","1,86,59,07,102.80","38,108"
"16-Feb-2022","EQ","3,599.00","3,640.00","3,571.10","3,589.20","3,586.40","3,586.90","3,602.78","4,347.00","3,027.05","2,44,587","88,11,93,452.75","22,049"
"15-Feb-2022","EQ","3,490.00","3,601.00","3,473.75","3,487.95","3,594.50","3,589.20","3,550.24","4,347.00","3,027.05","3,57,052","1,26,76,21,110.80","37,771"
"14-Feb-2022","EQ","3,465.00","3,538.00","3,461.35","3,566.65","3,476.95","3,487.95","3,506.77","4,347.00","3,027.05","2,82,645","99,11,71,865.65","23,878"
"11-Feb-2022","EQ","3,530.00","3,575.00","3,508.00","3,569.35","3,569.00","3,566.65","3,549.46","4,347.00","3,027.05","3,39,577","1,20,53,15,344.30","30,740"
"10-Feb-2022","EQ","3,563.35","3,581.55","3,545.65","3,563.55","3,566.20","3,569.35","3,566.78","4,347.00","3,027.05","2,39,918","85,57,34,282.40","33,142"
"09-Feb-2022","EQ","3,452.00","3,570.00","3,452.00","3,458.65","3,559.00","3,563.55","3,541.07","4,347.00","3,027.05","3,52,729","1,24,90,37,570.30","42,105"
"08-Feb-2022","EQ","3,476.10","3,512.95","3,445.90","3,476.00","3,452.00","3,458.65","3,468.26","4,347.00","3,027.05","3,97,493","1,37,86,07,513.75","45,747"
"07-Feb-2022","EQ","3,570.00","3,570.00","3,468.00","3,565.35","3,481.00","3,476.00","3,498.03","4,347.00","3,027.05","2,86,849","1,00,34,05,183.75","28,190"
"04-Feb-2022","EQ","3,621.10","3,621.10","3,550.00","3,621.10","3,564.95","3,565.35","3,575.04","4,361.40","3,027.05","2,96,588","1,06,03,14,511.15","31,715"
"03-Feb-2022","EQ","3,550.00","3,650.95","3,521.00","3,535.00","3,608.85","3,621.10","3,617.39","4,361.40","3,027.05","7,60,774","2,75,20,17,269.60","65,617"
"02-Feb-2022","EQ","3,540.00","3,585.00","3,521.45","3,534.45","3,536.85","3,535.00","3,556.65","4,361.40","3,027.05","2,12,256","75,49,19,849.25","23,814"
"01-Feb-2022","EQ","3,577.00","3,592.35","3,511.55","3,564.65","3,530.95","3,534.45","3,547.64","4,361.40","3,027.05","4,87,464","1,72,93,45,853.45","40,211"
"31-Jan-2022","EQ","3,520.00","3,585.65","3,487.00","3,497.20","3,550.10","3,564.65","3,556.69","4,361.40","3,027.05","4,70,500","1,67,34,24,034.85","45,492"
"28-Jan-2022","EQ","3,505.00","3,562.30","3,485.10","3,501.10","3,496.25","3,497.20","3,523.37","4,361.40","3,027.05","5,75,466","2,02,75,76,805.20","54,825"
"27-Jan-2022","EQ","3,445.00","3,536.80","3,394.20","3,469.10","3,501.00","3,501.10","3,467.98","4,361.40","3,027.05","6,64,333","2,30,38,93,841.25","64,585"
"25-Jan-2022","EQ","3,359.00","3,490.00","3,328.75","3,382.30","3,450.30","3,469.10","3,433.95","4,361.40","3,027.05","5,71,406","1,96,21,76,943.70","57,954"
"24-Jan-2022","EQ","3,421.00","3,454.20","3,350.00","3,419.80","3,390.05","3,382.30","3,391.72","4,361.40","3,027.05","7,88,137","2,67,31,36,737.20","81,524"
"21-Jan-2022","EQ","3,308.75","3,473.95","3,270.00","3,308.75","3,430.05","3,419.80","3,418.53","4,361.40","3,027.05","16,09,260","5,50,13,07,701.30","1,05,355"
"20-Jan-2022","EQ","3,398.90","3,448.00","3,295.00","3,436.80","3,309.50","3,308.75","3,350.85","4,361.40","3,027.05","8,74,508","2,93,03,42,390.65","70,918"
"19-Jan-2022","EQ","3,400.95","3,462.30","3,383.05","3,400.95","3,452.15","3,436.80","3,433.18","4,361.40","3,027.05","6,94,189","2,38,32,73,520.90","52,488"
"18-Jan-2022","EQ","3,488.95","3,497.20","3,392.60","3,489.75","3,416.90","3,400.95","3,434.29","4,361.40","3,027.05","6,56,590","2,25,49,17,626.10","48,554"
"17-Jan-2022","EQ","3,450.00","3,527.00","3,434.05","3,432.80","3,488.00","3,489.75","3,499.83","4,361.40","3,027.05","6,46,271","2,26,18,39,618.25","40,890"
"14-Jan-2022","EQ","3,451.00","3,462.20","3,425.00","3,451.00","3,429.00","3,432.80","3,440.00","4,361.40","3,027.05","1,27,752","43,94,66,879.40","16,949"
"13-Jan-2022","EQ","3,445.90","3,474.30","3,430.00","3,440.10","3,449.00","3,451.00","3,450.75","4,361.40","3,027.05","2,91,271","1,00,51,04,094.70","27,144"
"12-Jan-2022","EQ","3,446.10","3,452.00","3,414.25","3,436.75","3,435.10","3,440.10","3,435.42","4,361.40","3,027.05","1,98,452","68,17,65,102.75","29,217"
"11-Jan-2022","EQ","3,413.00","3,445.95","3,413.00","3,435.10","3,435.00","3,436.75","3,434.95","4,361.40","3,027.05","2,25,782","77,55,49,513.85","20,945"
"10-Jan-2022","EQ","3,414.80","3,451.25","3,404.45","3,392.50","3,435.00","3,435.10","3,435.62","4,361.40","3,027.05","3,18,473","1,09,41,53,399.75","26,305"
"07-Jan-2022","EQ","3,437.50","3,437.50","3,377.00","3,418.20","3,395.00","3,392.50","3,402.94","4,361.40","3,027.05","2,63,996","89,83,62,585.55","23,894"
"06-Jan-2022","EQ","3,344.80","3,429.00","3,333.00","3,358.55","3,415.10","3,418.20","3,382.74","4,361.40","3,027.05","4,10,181","1,38,75,36,018.85","35,382"
"05-Jan-2022","EQ","3,289.15","3,365.00","3,281.00","3,289.15","3,350.00","3,358.55","3,338.89","4,361.40","3,027.05","3,12,215","1,04,24,51,994.75","22,521"
"04-Jan-2022","EQ","3,284.00","3,316.00","3,270.65","3,277.10","3,294.95","3,289.15","3,299.08","4,361.40","3,027.05","2,44,503","80,66,34,112.85","21,754"
"03-Jan-2022","EQ","3,258.70","3,292.60","3,251.50","3,249.25","3,279.00","3,277.10","3,276.93","4,361.40","3,027.05","2,66,680","87,38,92,682.35","22,991"
"31-Dec-2021","EQ","3,230.00","3,264.70","3,217.00","3,200.80","3,251.00","3,249.25","3,242.96","4,361.40","3,027.05","2,48,103","80,45,88,126.30","21,559"
"30-Dec-2021","EQ","3,278.00","3,279.15","3,187.00","3,262.50","3,201.00","3,200.80","3,212.05","4,361.40","3,027.05","5,94,987","1,91,11,30,932.65","44,021"
"29-Dec-2021","EQ","3,188.75","3,269.00","3,152.05","3,176.05","3,269.00","3,262.50","3,221.03","4,361.40","3,027.05","5,63,709","1,81,57,24,351.95","38,276"
"28-Dec-2021","EQ","3,161.20","3,187.55","3,150.00","3,154.10","3,175.90","3,176.05","3,170.68","4,361.40","3,027.05","2,14,640","68,05,55,095.40","18,345"
"27-Dec-2021","EQ","3,145.00","3,174.15","3,122.00","3,152.05","3,159.00","3,154.10","3,142.25","4,361.40","3,027.05","94,069","29,55,88,650.50","11,935"
"24-Dec-2021","EQ","3,181.30","3,195.00","3,135.00","3,174.10","3,156.40","3,152.05","3,155.23","4,361.40","3,027.05","1,23,753","39,04,68,949.35","12,432"
"23-Dec-2021","EQ","3,150.00","3,190.95","3,138.00","3,135.85","3,180.80","3,174.10","3,171.76","4,361.40","3,027.05","2,24,147","71,09,39,784.95","27,916"
"22-Dec-2021","EQ","3,132.00","3,173.55","3,126.00","3,130.80","3,137.05","3,135.85","3,147.07","4,361.40","3,027.05","2,94,578","92,70,57,399.05","32,996"
"21-Dec-2021","EQ","3,112.00","3,160.05","3,092.00","3,105.20","3,135.45","3,130.80","3,130.13","4,361.40","3,027.05","3,26,850","1,02,30,83,461.75","38,876"
"20-Dec-2021","EQ","3,149.90","3,171.10","3,027.05","3,179.15","3,101.00","3,105.20","3,087.88","4,361.40","3,027.05","5,95,625","1,83,92,19,434.65","66,732"
"17-Dec-2021","EQ","3,248.05","3,261.80","3,149.10","3,253.15","3,205.30","3,179.15","3,188.49","4,361.40","3,149.10","31,70,631","10,10,95,15,814.30","84,127"
"16-Dec-2021","EQ","3,327.75","3,327.75","3,227.35","3,294.50","3,249.95","3,253.15","3,257.52","4,361.40","3,172.00","3,24,140","1,05,58,93,242.95","27,159"
"15-Dec-2021","EQ","3,289.65","3,329.85","3,275.00","3,291.65","3,303.00","3,294.50","3,308.49","4,361.40","3,172.00","2,95,667","97,82,11,361.60","26,450"
"14-Dec-2021","EQ","3,300.00","3,305.00","3,268.00","3,305.45","3,298.10","3,291.65","3,284.41","4,361.40","3,172.00","1,81,626","59,65,34,411.75","21,652"
"13-Dec-2021","EQ","3,367.00","3,372.45","3,295.00","3,344.75","3,309.95","3,305.45","3,326.19","4,361.40","3,172.00","2,14,515","71,35,18,365.80","19,737"
"10-Dec-2021","EQ","3,320.20","3,364.20","3,320.00","3,341.00","3,344.60","3,344.75","3,350.37","4,361.40","3,172.00","2,20,039","73,72,12,146.15","21,686"
"09-Dec-2021","EQ","3,350.00","3,350.00","3,306.00","3,332.05","3,331.15","3,341.00","3,328.31","4,361.40","3,172.00","2,37,723","79,12,16,262.95","28,086"
"08-Dec-2021","EQ","3,302.85","3,337.95","3,297.00","3,286.45","3,326.00","3,332.05","3,315.34","4,361.40","3,172.00","3,34,037","1,10,74,44,844.80","25,429"
"07-Dec-2021","EQ","3,284.95","3,317.00","3,261.00","3,249.75","3,285.60","3,286.45","3,291.85","4,361.40","3,172.00","2,86,908","94,44,57,163.25","22,484"
"06-Dec-2021","EQ","3,297.80","3,300.00","3,242.70","3,287.85","3,252.50","3,249.75","3,275.32","4,361.40","3,172.00","2,51,407","82,34,37,351.65","26,899"
"03-Dec-2021","EQ","3,335.00","3,343.15","3,280.60","3,328.40","3,287.00","3,287.85","3,308.30","4,361.40","3,161.00","3,15,536","1,04,38,88,056.55","30,114"
"02-Dec-2021","EQ","3,259.95","3,337.35","3,236.50","3,249.55","3,328.00","3,328.40","3,291.72","4,361.40","3,161.00","5,02,905","1,65,54,21,182.20","52,667"
"01-Dec-2021","EQ","3,280.00","3,294.20","3,227.30","3,240.30","3,252.20","3,249.55","3,252.59","4,361.40","3,161.00","5,51,434","1,79,35,86,681.15","50,734"
"30-Nov-2021","EQ","3,296.00","3,322.95","3,223.05","3,298.20","3,230.00","3,240.30","3,265.88","4,361.40","3,161.00","6,82,518","2,22,90,24,698.60","56,280"
