"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2023","EQ","891.00","892.00","877.00","886.45","878.75","878.65","882.20","1,185.25","877.00","18,92,639","1,66,96,95,512.15","1,25,476"
"02-Mar-2023","EQ","901.95","903.00","884.50","899.60","887.00","886.45","889.40","1,185.25","884.50","18,87,367","1,67,86,20,722.90","1,13,423"
"01-Mar-2023","EQ","907.80","910.25","896.00","906.40","899.90","899.60","901.74","1,185.25","896.00","34,96,231","3,15,26,89,365.50","2,29,754"
"28-Feb-2023","EQ","945.90","945.90","903.10","950.20","905.80","906.40","918.68","1,185.25","902.00","53,80,673","4,94,30,95,705.65","1,80,501"
"27-Feb-2023","EQ","965.60","968.60","948.65","961.80","951.80","950.20","956.10","1,185.25","902.00","13,77,270","1,31,68,10,820.15","62,505"
"24-Feb-2023","EQ","961.10","966.00","955.00","960.30","966.00","961.80","959.65","1,185.25","888.15","15,85,383","1,52,14,10,737.05","68,687"
"23-Feb-2023","EQ","965.00","967.45","956.00","962.55","960.00","960.30","960.84","1,185.25","888.15","12,16,409","1,16,87,73,739.05","59,818"
"22-Feb-2023","EQ","966.60","972.80","959.05","965.95","965.95","962.55","965.92","1,185.25","888.15","16,02,953","1,54,83,20,718.80","67,013"
"21-Feb-2023","EQ","969.80","979.10","963.50","964.00","971.00","965.95","971.45","1,185.25","888.15","20,42,234","1,98,39,34,466.15","86,404"
"20-Feb-2023","EQ","998.00","998.00","955.25","1,025.75","963.00","964.00","966.13","1,185.25","888.15","58,29,572","5,63,21,34,264.65","1,81,191"
"17-Feb-2023","EQ","1,035.50","1,035.75","1,021.15","1,035.50","1,027.00","1,025.75","1,025.51","1,185.25","888.15","15,09,783","1,54,82,92,635.75","73,744"
"16-Feb-2023","EQ","1,031.75","1,038.00","1,028.35","1,030.80","1,032.80","1,035.50","1,033.67","1,185.25","888.15","6,67,265","68,97,34,384.75","36,262"
