"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2022","EQ","563.00","575.95","560.35","555.20","570.45","569.55","571.02","739.85","397.75","1,29,55,663","7,39,79,06,511.30","1,84,234"
"02-Mar-2022","EQ","555.00","558.30","550.40","555.80","557.10","555.20","554.96","739.85","397.75","81,77,055","4,53,79,34,615.45","1,45,582"
"28-Feb-2022","EQ","551.00","560.10","544.10","555.25","556.30","555.80","554.54","739.85","397.75","91,58,437","5,07,87,06,365.25","1,14,738"
"25-Feb-2022","EQ","548.00","558.75","547.50","537.15","556.00","555.25","554.50","739.85","397.75","79,61,312","4,41,45,78,976.70","1,35,467"
"24-Feb-2022","EQ","548.00","556.90","531.15","567.10","538.30","537.15","544.12","739.85","397.75","1,34,76,944","7,33,30,30,977.60","2,45,211"
"23-Feb-2022","EQ","569.20","570.90","562.65","564.15","566.00","567.10","566.59","739.85","397.75","72,04,256","4,08,18,57,513.15","1,09,133"
"22-Feb-2022","EQ","556.25","569.00","556.10","570.80","562.20","564.15","563.96","739.85","397.75","1,07,45,062","6,05,97,38,465.30","1,48,389"
"21-Feb-2022","EQ","555.75","572.70","555.40","562.45","571.90","570.80","566.29","739.85","397.75","87,67,001","4,96,46,77,275.10","1,44,477"
"18-Feb-2022","EQ","559.00","565.70","555.35","564.90","562.50","562.45","560.97","739.85","397.75","67,05,919","3,76,18,46,880.05","1,12,569"
"17-Feb-2022","EQ","572.00","572.40","561.15","563.90","563.95","564.90","566.54","739.85","397.75","71,14,420","4,03,06,13,862.75","1,27,323"
"16-Feb-2022","EQ","565.15","570.30","557.55","563.35","561.50","563.90","563.44","739.85","397.75","73,03,911","4,11,53,10,264.70","1,19,985"
"15-Feb-2022","EQ","545.60","565.25","543.25","541.70","565.00","563.35","554.34","739.85","397.75","68,38,496","3,79,08,29,514.75","1,52,740"
"14-Feb-2022","EQ","550.00","557.15","540.00","561.45","542.45","541.70","549.39","739.85","397.75","81,20,773","4,46,15,05,135.35","1,90,993"
"11-Feb-2022","EQ","566.00","566.00","557.10","573.65","561.25","561.45","560.79","739.85","397.75","77,21,229","4,32,99,93,161.55","1,59,312"
"10-Feb-2022","EQ","572.40","574.75","566.20","568.95","573.90","573.65","570.83","739.85","397.75","58,01,912","3,31,19,18,818.10","1,31,663"
"09-Feb-2022","EQ","564.40","570.75","563.30","560.25","569.50","568.95","568.38","739.85","397.75","51,03,738","2,90,08,83,008.30","97,434"
"08-Feb-2022","EQ","561.40","565.80","554.45","557.00","559.90","560.25","560.20","739.85","397.75","69,76,907","3,90,84,37,097.95","1,27,178"
"07-Feb-2022","EQ","571.90","573.80","555.60","571.75","557.80","557.00","561.96","739.85","397.75","75,45,679","4,24,03,61,819.80","1,80,732"
"04-Feb-2022","EQ","577.00","577.80","568.05","578.25","573.00","571.75","573.73","739.85","397.75","68,16,779","3,91,09,92,144.50","1,38,822"
"03-Feb-2022","EQ","584.70","588.80","576.15","588.00","577.80","578.25","582.86","739.85","397.75","70,41,390","4,10,41,24,109.35","1,29,088"
"02-Feb-2022","EQ","582.00","590.00","575.00","576.65","589.40","588.00","585.60","739.85","397.75","81,84,413","4,79,27,99,141.25","1,50,980"
"01-Feb-2022","EQ","579.90","582.40","566.45","572.60","577.50","576.65","575.24","739.85","397.75","1,04,60,101","6,01,70,65,488.85","2,08,035"
"31-Jan-2022","EQ","569.00","574.40","562.55","552.15","573.00","572.60","569.95","739.85","397.75","1,31,26,087","7,48,12,06,036.45","2,39,165"
"28-Jan-2022","EQ","550.10","564.95","546.65","544.75","552.00","552.15","557.50","739.85","397.75","1,49,49,890","8,33,45,94,506.35","3,18,562"
"27-Jan-2022","EQ","555.00","556.90","537.20","562.70","545.30","544.75","544.98","739.85","397.75","1,56,75,872","8,54,30,41,599.75","3,64,388"
"25-Jan-2022","EQ","562.50","572.00","550.70","572.75","563.50","562.70","562.21","739.85","397.75","1,73,56,185","9,75,77,63,136.60","3,87,154"
"24-Jan-2022","EQ","605.50","605.50","568.45","605.05","572.00","572.75","580.89","739.85","397.75","1,30,75,358","7,59,53,94,133.15","3,58,789"
"21-Jan-2022","EQ","610.00","611.00","600.80","615.20","605.50","605.05","605.79","739.85","397.75","98,23,347","5,95,08,65,121.35","2,71,103"
"20-Jan-2022","EQ","620.65","622.40","610.50","621.15","616.00","615.20","615.09","739.85","397.75","84,13,562","5,17,50,70,110.25","2,36,580"
"19-Jan-2022","EQ","631.00","631.65","619.00","633.30","623.00","621.15","622.39","739.85","397.75","86,91,383","5,40,94,66,617.85","2,60,851"
"18-Jan-2022","EQ","648.90","650.00","631.15","646.65","634.90","633.30","640.09","739.85","397.75","71,64,990","4,58,62,53,613.25","2,08,075"
"17-Jan-2022","EQ","639.50","651.65","633.05","639.80","646.20","646.65","644.69","739.85","397.75","1,02,28,938","6,59,44,47,611.45","2,14,235"
"14-Jan-2022","EQ","649.25","649.25","636.50","649.75","640.25","639.80","640.71","739.85","397.75","1,32,57,274","8,49,40,94,446.50","2,95,017"
"13-Jan-2022","EQ","663.20","666.00","648.00","691.35","650.05","649.75","653.90","739.85","397.75","3,07,52,967","20,10,93,85,971.10","5,49,500"
"12-Jan-2022","EQ","700.00","701.75","683.20","694.15","691.00","691.35","689.99","739.85","397.75","1,17,30,341","8,09,38,49,938.85","2,31,777"
"11-Jan-2022","EQ","695.00","698.45","689.00","693.50","694.75","694.15","693.99","739.85","397.75","77,43,729","5,37,40,54,807.25","1,62,859"
"10-Jan-2022","EQ","709.00","709.00","690.00","711.50","694.85","693.50","696.03","739.85","397.75","1,37,68,910","9,58,36,40,470.45","2,99,201"
"07-Jan-2022","EQ","708.00","721.50","707.60","705.75","708.10","711.50","714.64","739.85","387.80","65,60,163","4,68,81,31,223.10","1,08,556"
"06-Jan-2022","EQ","705.80","712.25","699.95","713.50","706.20","705.75","706.11","739.85","387.80","64,41,610","4,54,85,14,019.30","1,13,645"
"05-Jan-2022","EQ","720.00","720.85","703.00","721.50","713.60","713.50","711.37","739.85","387.80","73,55,632","5,23,26,09,495.95","1,35,056"
"04-Jan-2022","EQ","722.75","723.10","711.55","718.70","722.00","721.50","718.18","739.85","387.80","51,14,400","3,67,30,42,530.15","94,475"
"03-Jan-2022","EQ","718.00","726.80","716.00","715.35","718.95","718.70","720.13","739.85","387.80","46,40,405","3,34,16,71,783.10","86,315"
"31-Dec-2021","EQ","715.80","718.80","709.10","714.10","715.30","715.35","713.70","739.85","381.20","42,74,779","3,05,09,06,705.95","94,710"
"30-Dec-2021","EQ","705.10","719.90","704.00","703.70","716.15","714.10","714.51","739.85","381.20","90,43,675","6,46,17,72,648.80","1,46,624"
"29-Dec-2021","EQ","705.25","710.00","700.05","705.45","703.80","703.70","705.04","739.85","381.20","39,49,208","2,78,43,46,135.90","82,721"
"28-Dec-2021","EQ","703.00","707.50","701.55","699.60","705.25","705.45","704.64","739.85","381.20","50,79,022","3,57,88,88,797.75","92,950"
"27-Dec-2021","EQ","699.85","701.00","691.15","698.45","699.00","699.60","696.98","739.85","381.20","50,94,328","3,55,06,63,175.90","89,498"
"24-Dec-2021","EQ","697.75","702.40","690.15","694.55","697.65","698.45","696.16","739.85","348.35","65,91,213","4,58,85,16,727.50","1,04,089"
"23-Dec-2021","EQ","690.10","702.00","689.10","685.65","693.75","694.55","694.81","739.85","348.35","64,72,454","4,49,71,07,109.50","1,13,153"
"22-Dec-2021","EQ","695.90","695.90","681.20","690.80","686.00","685.65","686.04","739.85","348.35","61,63,877","4,22,86,84,112.50","1,15,900"
"21-Dec-2021","EQ","676.00","697.10","671.00","665.95","691.15","690.80","687.97","739.85","348.35","1,36,81,048","9,41,21,55,711.15","2,29,706"
"20-Dec-2021","EQ","667.55","677.50","663.00","670.80","665.70","665.95","669.49","739.85","348.35","1,31,49,101","8,80,31,94,878.40","2,34,233"
"17-Dec-2021","EQ","660.00","676.80","650.10","644.30","674.75","670.80","666.35","739.85","347.10","5,23,00,009","34,85,03,53,508.90","3,29,867"
