"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2020","EQ","344.00","349.05","342.00","340.65","347.90","347.30","346.13","430.60","330.50","36,71,071","1,27,06,66,106.85","63,872"
"03-Mar-2020","EQ","344.00","349.05","342.00","340.65","347.90","347.30","346.13","430.60","330.50","36,71,071","1,27,06,66,106.85","63,872"
"03-Mar-2020","EQ","344.00","349.05","342.00","340.65","347.90","347.30","346.13","430.60","330.50","36,71,071","1,27,06,66,106.85","63,872"
"03-Mar-2020","EQ","344.00","349.05","342.00","340.65","347.90","347.30","346.13","430.60","330.50","36,71,071","1,27,06,66,106.85","63,872"
"03-Mar-2020","EQ","344.00","349.05","342.00","340.65","347.90","347.30","346.13","430.60","330.50","36,71,071","1,27,06,66,106.85","63,872"
"02-Mar-2020","EQ","346.10","351.05","338.30","342.20","340.50","340.65","346.05","430.60","330.50","25,10,491","86,87,59,795.30","38,730"
"28-Feb-2020","EQ","347.00","348.65","339.20","353.70","344.85","342.20","343.99","430.60","315.75","42,99,292","1,47,88,97,669.70","39,508"
"27-Feb-2020","EQ","358.70","360.75","351.50","358.40","354.00","353.70","353.93","430.60","315.75","19,77,795","69,99,97,700.45","37,054"
"26-Feb-2020","EQ","356.90","362.50","352.90","358.40","357.60","358.40","357.72","430.60","315.75","41,64,401","1,48,97,00,786.10","40,532"
"25-Feb-2020","EQ","362.30","364.70","355.60","362.25","358.75","358.40","358.01","430.60","315.75","25,30,137","90,58,18,725.30","48,185"
"24-Feb-2020","EQ","367.65","371.40","361.50","370.85","362.30","362.25","367.03","430.60","315.75","20,70,656","75,99,87,776.65","24,653"
"20-Feb-2020","EQ","371.00","374.50","370.00","371.30","370.50","370.85","372.28","430.60","315.75","17,99,254","66,98,22,026.85","20,182"
"19-Feb-2020","EQ","371.00","374.45","367.35","366.60","371.30","371.30","370.42","430.60","315.75","20,57,811","76,22,53,373.50","21,684"
"19-Feb-2020","EQ","371.00","374.45","367.35","366.60","371.30","371.30","370.42","430.60","315.75","20,57,811","76,22,53,373.50","21,684"
"19-Feb-2020","EQ","371.00","374.45","367.35","366.60","371.30","371.30","370.42","430.60","315.75","20,57,811","76,22,53,373.50","21,684"
"19-Feb-2020","EQ","371.00","374.45","367.35","366.60","371.30","371.30","370.42","430.60","315.75","20,57,811","76,22,53,373.50","21,684"
"19-Feb-2020","EQ","371.00","374.45","367.35","366.60","371.30","371.30","370.42","430.60","315.75","20,57,811","76,22,53,373.50","21,684"
"18-Feb-2020","EQ","362.50","368.45","358.35","362.80","368.00","366.60","362.66","430.60","315.75","16,93,616","61,42,03,115.25","19,816"
"17-Feb-2020","EQ","366.85","366.85","359.40","366.85","362.45","362.80","361.85","430.60","315.75","19,79,626","71,63,34,206.65","26,024"
"14-Feb-2020","EQ","370.30","372.00","366.00","369.10","366.10","366.85","368.82","430.60","315.75","10,12,713","37,35,08,763.35","18,539"
"13-Feb-2020","EQ","374.00","374.70","367.00","374.10","369.60","369.10","369.00","430.60","315.75","16,02,247","59,12,34,226.00","24,356"
"12-Feb-2020","EQ","376.95","378.90","371.60","374.20","374.70","374.10","375.02","430.60","315.75","18,73,710","70,26,70,869.75","26,698"
"11-Feb-2020","EQ","370.50","378.40","369.05","368.25","374.05","374.20","374.67","430.60","315.75","28,36,917","1,06,29,21,032.95","38,209"
"10-Feb-2020","EQ","370.05","373.45","366.15","369.55","369.00","368.25","368.86","430.60","315.75","15,37,598","56,71,63,672.90","19,031"
"07-Feb-2020","EQ","370.20","373.70","367.20","370.20","369.55","369.55","369.90","430.60","315.75","21,97,903","81,30,02,298.45","21,700"
"06-Feb-2020","EQ","370.00","373.20","367.65","366.60","370.10","370.20","370.77","430.60","315.75","41,72,547","1,54,70,63,874.80","27,386"
"05-Feb-2020","EQ","372.00","372.50","361.10","372.50","368.00","366.60","365.67","430.60","315.75","34,41,871","1,25,86,01,306.35","36,629"
"04-Feb-2020","EQ","370.10","376.00","366.35","367.35","368.35","372.50","372.34","430.60","315.75","30,61,868","1,14,00,64,198.05","37,727"
"03-Feb-2020","EQ","364.00","370.00","355.50","362.30","369.00","367.35","364.92","430.60","315.75","28,57,926","1,04,29,28,500.85","28,177"
"01-Feb-2020","EQ","369.80","371.40","360.65","369.40","362.35","362.30","365.61","430.60","292.10","18,39,534","67,25,60,438.25","20,577"
"31-Jan-2020","EQ","380.05","381.55","368.25","378.00","369.55","369.40","371.94","430.60","292.10","29,12,256","1,08,31,85,828.00","41,584"
"30-Jan-2020","EQ","381.00","383.70","376.85","383.35","378.00","378.00","379.78","430.60","292.10","15,26,892","57,98,85,594.70","21,621"
"29-Jan-2020","EQ","377.50","387.75","373.75","372.95","382.50","383.35","383.81","430.60","292.10","35,88,224","1,37,72,04,827.35","46,533"
"28-Jan-2020","EQ","380.70","381.50","370.20","381.25","373.75","372.95","375.37","430.60","292.10","22,20,618","83,35,46,232.45","42,216"
"27-Jan-2020","EQ","383.70","386.25","379.80","384.75","380.70","381.25","382.77","430.60","292.10","10,76,027","41,18,75,743.90","21,136"
"24-Jan-2020","EQ","383.00","387.40","380.30","385.85","384.75","384.75","384.18","430.60","292.10","15,72,385","60,40,83,932.25","23,068"
"23-Jan-2020","EQ","384.45","386.75","380.75","383.60","385.00","385.85","384.40","430.60","292.10","12,02,104","46,20,86,830.40","22,112"
"22-Jan-2020","EQ","379.95","385.00","379.00","379.95","384.00","383.60","382.90","430.60","292.10","18,17,459","69,58,97,835.25","24,026"
"21-Jan-2020","EQ","378.80","382.00","375.30","380.05","379.70","379.95","378.66","430.60","292.10","20,05,178","75,92,75,668.40","28,978"
"20-Jan-2020","EQ","387.65","389.20","378.80","387.60","379.85","380.05","382.18","430.60","292.10","17,60,945","67,29,89,254.20","27,756"
