"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2021","EQ","732.00","754.95","723.40","720.50","733.25","729.85","739.56","754.95","203.00","1,99,61,472","14,76,26,53,883.70","2,85,506"
"02-Mar-2021","EQ","697.60","724.70","696.00","692.90","721.25","720.50","708.76","724.70","203.00","1,14,86,477","8,14,11,58,368.05","1,70,602"
"01-Mar-2021","EQ","684.60","704.65","673.30","675.90","697.60","692.90","688.54","711.35","203.00","1,16,00,468","7,98,74,21,582.95","1,79,958"
"26-Feb-2021","EQ","697.10","703.45","668.00","704.30","668.25","675.90","686.34","711.35","203.00","1,99,09,990","13,66,51,13,847.35","2,20,978"
"25-Feb-2021","EQ","669.40","711.35","667.15","665.20","705.00","704.30","695.14","711.35","203.00","1,85,96,690","12,92,72,21,549.30","2,26,639"
"24-Feb-2021","EQ","666.70","671.00","653.40","662.00","666.40","665.20","665.04","682.70","203.00","39,19,187","2,60,63,99,185.80","57,372"
"23-Feb-2021","EQ","680.00","682.70","659.25","673.80","662.00","662.00","668.70","682.70","203.00","1,12,47,164","7,52,09,40,821.50","1,60,718"
"22-Feb-2021","EQ","658.80","678.50","649.00","653.50","672.00","673.80","665.66","678.50","203.00","1,67,39,107","11,14,24,95,641.05","2,00,480"
"19-Feb-2021","EQ","664.95","676.65","628.65","664.05","655.00","653.50","658.84","676.65","203.00","1,75,53,743","11,56,50,22,396.50","2,19,949"
"18-Feb-2021","EQ","660.80","670.00","649.05","655.75","664.20","664.05","659.78","670.00","203.00","1,31,89,027","8,70,18,91,515.10","1,61,477"
"17-Feb-2021","EQ","658.00","670.00","646.90","636.55","654.00","655.75","658.20","670.00","203.00","3,48,68,085","22,95,01,89,490.75","4,69,652"
"16-Feb-2021","EQ","629.80","643.50","628.05","627.75","637.40","636.55","637.44","643.50","203.00","1,51,20,148","9,63,81,25,111.15","2,41,095"
